episode,step,epsilon,episode_loss,max_episode_reward,episode_moving_average_30
1,999,0.9990259750000413,2082.141845703125,-27.430520082673542,-0.9143506694224514
2,1998,0.9980519500000826,2038.9766845703125,-26.867652929664423,-1.8099391004112657
3,2997,0.9970779250001239,1935.1500244140625,-26.276262236260685,-2.685814508286622
4,3996,0.9961039000001652,1991.7684326171875,-26.276262236260685,-3.567380093914835
5,4995,0.9951298750002066,1939.495849609375,-26.230643300211014,-4.441734870588535
6,5994,0.9941558500002479,1863.2052001953125,-25.562845563659373,-5.293829722710514
7,6993,0.9931818250002892,1866.4271240234375,-25.562845563659373,-6.157457548867795
8,7992,0.9922078000003305,2014.181640625,-25.562845563659373,-7.0617112702206235
9,8991,0.9912337750003718,1873.8446044921875,-25.562845563659373,-7.92774454042829
10,9990,0.9902597500004131,1789.35498046875,-25.310916369215757,-8.771441752735482
11,10989,0.9892857250004544,1981.49853515625,-25.310916369215757,-9.670902322144455
12,11988,0.9883117000004957,1739.9061279296875,-24.898771339562245,-10.50086136679653
13,12987,0.987337675000537,1706.1533203125,-24.314810077125316,-11.311355036034039
14,13986,0.9863636500005784,1815.118896484375,-24.314810077125316,-12.154579457856608
15,14985,0.9853896250006197,1770.5081787109375,-24.314810077125316,-12.98867280146649
16,15984,0.984415600000661,1772.7430419921875,-24.314810077125316,-13.81558622887298
17,16983,0.9834415750007023,1967.8021240234375,-24.314810077125316,-14.72637726059261
18,17982,0.9824675500007436,1679.670654296875,-24.314810077125316,-15.54745595497906
19,18981,0.9814935250007849,1505.7388916015625,-22.485095651201853,-16.296959143352456
20,19980,0.9805195000008262,1502.84228515625,-22.482210349061265,-17.046366154987833
21,20979,0.9795454750008675,1608.52685546875,-22.482210349061265,-17.845638261364208
22,21978,0.9785714500009088,1571.480712890625,-22.482210349061265,-18.628608664736113
23,22977,0.9775974250009501,1459.82373046875,-22.32995002953769,-19.37294033238737
24,23976,0.9766234000009915,1545.028564453125,-22.32995002953769,-20.149672296965775
25,24975,0.9756493750010328,1520.50048828125,-22.32995002953769,-20.920324519387293
26,25974,0.9746753500010741,1486.7459716796875,-22.32995002953769,-21.686173166598838
27,26973,0.9737013250011154,1482.3065185546875,-22.32995002953769,-22.450682412931975
28,27972,0.9727273000011567,1467.5865478515625,-22.32995002953769,-23.208950127571843
29,28971,0.971753275001198,1429.6510009765625,-22.140400893323584,-23.946963490682627
30,29970,0.9707792500012393,1433.7701416015625,-22.140400893323584,-24.691531230054633
31,30969,0.9698052250012806,1305.392822265625,-21.05032970803175,-24.47885821756658
32,31968,0.968831200001322,1093.222900390625,-18.814477827220045,-24.210419047485097
33,32967,0.9678571750013633,1273.677490234375,-18.814477827220045,-24.02025163463471
34,33966,0.9668831500014046,1290.1845703125,-18.814477827220045,-23.839224666572434
35,34965,0.9659091250014459,1216.545166015625,-18.814477827220045,-23.638983561871093
36,35964,0.9649351000014872,1243.64794921875,-18.814477827220045,-23.473997972379138
37,36963,0.9639610750015285,1224.8486328125,-18.814477827220045,-23.28928718819653
38,37962,0.9629870500015698,1129.3721923828125,-18.814477827220045,-23.0328008774992
39,38961,0.9620130250016111,1084.3948974609375,-18.814477827220045,-22.801411015215773
40,39960,0.9610390000016524,1168.9971923828125,-18.814477827220045,-22.62331563129221
41,40959,0.9600649750016937,1221.009033203125,-18.814477827220045,-22.409077659235713
42,41958,0.959090950001735,1088.3536376953125,-18.814477827220045,-22.20950310781635
43,42957,0.9581169250017764,1088.71142578125,-18.814477827220045,-22.041287838503912
44,43956,0.9571429000018177,1092.9871826171875,-18.814477827220045,-21.836429381717682
45,44955,0.956168875001859,1123.9920654296875,-18.814477827220045,-21.654292059811418
46,45954,0.9551948500019003,1078.4512939453125,-18.814477827220045,-21.46194770333765
47,46953,0.9542208250019416,1161.80517578125,-18.814477827220045,-21.215956187529876
48,47952,0.9532468000019829,950.2332763671875,-17.719723670027122,-20.985534948810997
49,48951,0.9522727750020242,922.867919921875,-17.264619698646932,-20.811519083725834
50,49950,0.9512987500020655,1017.5697631835938,-17.264619698646932,-20.683155062968304
51,50949,0.9503247250021069,1027.767578125,-17.264619698646932,-20.508776480909578
52,51948,0.9493507000021482,883.8446655273438,-16.849861787186843,-20.287468137110565
53,52947,0.9483766750021895,1022.1968383789062,-16.849861787186843,-20.166355378514933
